Name,Description,Date,Total Time,Moving Time,Distance,Distance Unit,Average Speed,Average Moving Speed,Max Speed,Speed Unit,Elevation Gain,Min Elevation,Max Elevation,Elevation Unit,Map,Fusion Table
20130426,,4/26/2013 12:37:00,0:49:57,0:49:16,4.56,mi,5.48,5.56,16.34,mi/h,493,13,87,ft,-,"https://www.google.com/fusiontables/embedviz?viz=MAP&q=select+col0,+col1,+col2,+col3+from+14m7m7YloMHptMNFMKauz2DMV0gXvAJdUE0n5fE0+&h=false&lat=39.164214&lng=-75.509721&z=15&t=1&l=col2"
Run 20130428,,4/28/2013 16:26:00,0:11:42,0:11:40,1.55,mi,7.96,7.98,13.69,mi/h,188,32,112,ft,-,"https://www.google.com/fusiontables/embedviz?viz=MAP&q=select+col0,+col1,+col2,+col3+from+1gio9O_E53f4z-Z14TDmVruhp_lnJW9VPA5B15pQ+&h=false&lat=39.167950&lng=-75.500055&z=15&t=1&l=col2"
20130504,,5/4/2013 9:21:00,0:20:06,0:19:53,1.63,mi,4.87,4.93,8.86,mi/h,204,-5,308,ft,-,"https://www.google.com/fusiontables/embedviz?viz=MAP&q=select+col0,+col1,+col2,+col3+from+1gqrxcqH9lSuD3UUMBo_oNfC63rEsLHZXqSmG_IY+&h=false&lat=39.167857&lng=-75.500652&z=15&t=1&l=col2"
20130506,,5/6/2013 13:28:00,0:32:38,0:32:16,2.78,mi,5.12,5.18,12.54,mi/h,431,-22,102,ft,-,"https://www.google.com/fusiontables/embedviz?viz=MAP&q=select+col0,+col1,+col2,+col3+from+1HEMgrhEVtlWYy-U1j_TpzvZT3NQCck34Lh1XcLI+&h=false&lat=39.172305&lng=-75.505536&z=15&t=1&l=col2"
20130507,,5/7/2013 6:27:00,0:51:23,0:50:55,3.93,mi,4.59,4.63,16.11,mi/h,417,-12,73,ft,-,"https://www.google.com/fusiontables/embedviz?viz=MAP&q=select+col0,+col1,+col2,+col3+from+144Nq_UEE16y0vTMkzUZyah2VqGP2Bl9FpMHO5-k+&h=false&lat=39.163438&lng=-75.505309&z=15&t=1&l=col2"
20130516,,5/16/2013 8:17:00,0:32:07,0:31:28,2.61,mi,4.87,4.97,10.13,mi/h,503,-61,201,ft,-,"https://www.google.com/fusiontables/embedviz?viz=MAP&q=select+col0,+col1,+col2,+col3+from+1nUlQwLst9LTZzRVElQoiD2hAjgBq4Vu2IWJi7OM+&h=false&lat=39.166775&lng=-75.504563&z=15&t=1&l=col2"
5/17/2013 10:19:00,,5/17/2013 10:19:00,0:32:11,0:32:07,3.64,mi,6.78,6.8,17.03,mi/h,522,4,116,ft,-,
5/22/2013 16:49:00,,5/22/2013 16:49:00,0:40:11,0:40:03,3.4,mi,5.07,5.09,11.85,mi/h,408,-36,72,ft,-,-
5/27/2013 17:12:00,,5/27/2013 17:12:00,0:25:15,0:25:07,2.42,mi,5.74,5.77,9.67,mi/h,221,38,79,ft,-,-
,,5/28/2013 17:17:00,1:07:01,1:03:11,4.98,mi,4.46,4.73,18.41,mi/h,475,16,134,ft,-,-
,,5/30/2013 21:06:00,0:36:00,0:35:55,3.32,mi,5.53,5.54,9.44,mi/h,410,-41,74,ft,-,-
,,6/10/2013 19:50:00,0:21:16,0:19:52,1.74,mi,4.9,5.24,9.09,mi/h,247,10,70,ft,-,-
,,6/12/2013 12:43:00,0:41:36,0:41:31,4.05,mi,5.84,5.85,12.66,mi/h,439,-12,69,ft,-,-
,,6/19/2013 13:08:00,0:40:13,0:40:06,3.37,mi,5.03,5.05,9.67,mi/h,457,-30,79,ft,-,-
,,6/21/2013 11:59:00,1:03:24,1:03:08,5.96,mi,5.64,5.66,14.04,mi/h,790,-7,111,ft,-,-
6/26/2013 17:58,,6/26/2013 17:58:00,00:25:57,00:25:54,2.07,mi,4.78,4.79,10.24,mi/h,337.00,-1.00,114.00,ft,-,-
6/26/2013 17:21:00,,6/26/2013 17:21:00,0:34:57,0:34:53,3.52,mi,6.03,6.05,11.28,mi/h,439,-45,65,ft,-,-
6/28/2013 10:25:00,,6/28/2013 10:25:00,0:48:09,0:47:59,3.87,mi,4.82,4.83,10.24,mi/h,566,-22,109,ft,-,-
,,7/5/2013 11:12:00,0:24:51,0:24:41,2,mi,4.84,4.87,10.59,mi/h,249,3,71,ft,-,-
7/5/2013 10:37:00,,7/5/2013 10:37:00,0:34:16,0:34:12,3.44,mi,6.03,6.04,11.62,mi/h,326,0,145,ft,-,-
7/6/2013 10:03:00,,7/6/2013 10:03:00,0:20:04,0:20:00,1.57,mi,4.69,4.71,8.52,mi/h,317,-26,80,ft,-,-
7/18/2013 15:18:00,,7/18/2013 15:18:00,0:36:02,0:35:53,3.1,mi,5.16,5.18,16.23,mi/h,306,24,78,ft,-,-
7/20/2013 13:04:00,,7/20/2013 13:04:00,0:42:12,0:41:30,3.35,mi,4.76,4.84,13.46,mi/h,309,12,74,ft,-,-
7/24/2013 16:43:00,,7/24/2013 16:43:00,0:46:30,0:46:18,4.24,mi,5.47,5.5,10.24,mi/h,450,8,129,ft,-,-
7/27/2013 11:52:00,,7/27/2013 11:52:00,0:38:08,0:37:34,3.78,mi,5.94,6.03,14.27,mi/h,413,24,125,ft,-,-
8/6/2013 18:45:00,,8/6/2013 18:45:00,0:35:08,0:35:04,2.83,mi,4.82,4.83,9.55,mi/h,406,-37,59,ft,-,-
8/20/2013 8:06:00,,8/20/2013 8:06:00,0:30:56,0:27:04,2.15,mi,4.17,4.77,5.63,mi/h,147,25,74,ft,,
